,Ürün Kodu,Marka,Seri,Model,Araç Yılı,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş Tipi,Ortalama Yakıt Tüketimi,Depo Hacmi,Boya/Değişen Bilgisi,Takas Bilgisi,Satıcı,Fiyat
14,23801309,Volkswagen,Scirocco,1.4 TSi Sportline,2010,150.000 km,Otomatik,Benzin,Coupe,Beyaz,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Kredi
Ekspertiz
Yakıt
",Araç Bilgileri,Yakıt,Açıklama,"Boya, Değişen ve Tramer",890.000
15,23801446,Volkswagen,Passat,1.4 TSi BlueMotion Trendline,2011,216.000 km,Düz,Benzin,Sedan,Beyaz,1390 cc,122 hp,Önden Çekiş,"6,4 lt",70 lt,Belirtilmemiş,Sahibinden,Açıklama,750.000
16,23801367,Volkswagen,Jetta,1.6 TDi Comfortline,2013,139.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,105 hp,Önden Çekiş,"4,7 lt",55 lt,"
Tamamı orjinal
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",900.000
17,23801264,Volkswagen,Golf,1.6 TDi BlueMotion Comfortline,2013,186.500 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,105 hp,Önden Çekiş,"3,9 lt",50 lt,"
2 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",809.000
18,23801229,Volkswagen,Polo,1.4 Comfortline,2012,124.000 km,Düz,LPG & Benzin,Hatchback/5,Beyaz,1390 cc,85 hp,Önden Çekiş,"5,9 lt",45 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",670.000
19,23801078,Volkswagen,Polo,1.6 TDi Comfortline,2013,137.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,90 hp,Önden Çekiş,"4,3 lt",45 lt,"
4 boyalı
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",725.000
20,23801070,Volkswagen,Polo,1.4 TDi Comfortline,2015,156.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1422 cc,90 hp,Önden Çekiş,"3,5 lt",45 lt,"
2 değişen, 4 boyalı
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",619.500
21,,,,,,,,,,,,,,,,,,,
22,23800683,Volkswagen,Golf,1.6 TDi BlueMotion Midline Plus,2014,245.000 km,Düz,Dizel,Hatchback/5,Beyaz,1598 cc,90 hp,Önden Çekiş,"3,8 lt",50 lt,"
1 değişen, 3 boyalı
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",680.000
23,,,,,,,,,,,,,,,,,,,
24,23800679,Volkswagen,Jetta,1.6 TDi Comfortline,2013,242.150 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,105 hp,Önden Çekiş,"4,7 lt",55 lt,Belirtilmemiş,Sahibinden,Açıklama,800.000
25,,,,,,,,,,,,,,,,,,,
26,23800213,Volkswagen,Golf,1.6 TDi BlueMotion Comfortline,2017,155.000 km,Yarı Otomatik,Dizel,Hatchback/5,Füme,1598 cc,115 hp,Önden Çekiş,"4,2 lt",50 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,989.000
27,23800097,Volkswagen,Passat,1.4 TSi BlueMotion Comfortline,2012,159.000 km,Yarı Otomatik,Benzin,Station wagon,Beyaz,1390 cc,122 hp,Önden Çekiş,"6,1 lt",70 lt,Belirtilmemiş,Sahibinden,Açıklama,895.000
28,23800381,Volkswagen,Golf,1.6 TDi BlueMotion Comfortline,2015,185.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,110 hp,Önden Çekiş,"3,9 lt",50 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",860.000
29,23800270,Volkswagen,Polo,1.4 TDi Comfortline,2015,128.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1422 cc,90 hp,Önden Çekiş,"3,5 lt",45 lt,"
1 değişen, 1 boyalı
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",699.000
30,,,,,,,,,,,,,,,,,,,
31,23799030,Volkswagen,Polo,1.6 TDi Comfortline,2012,92.000 km,Yarı Otomatik,Dizel,Hatchback/5,Gri (Gümüş),1598 cc,90 hp,Önden Çekiş,"4,3 lt",45 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",658.000
32,23799025,Volkswagen,Passat,1.6 TDi BlueMotion Highline,2016,76.000 km,Yarı Otomatik,Dizel,Sedan,Kahverengi,1598 cc,120 hp,Önden Çekiş,4 lt,66 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,1.500.000
33,23799198,Volkswagen,Passat,1.4 TSi BlueMotion Highline,2016,85.000 km,Yarı Otomatik,Benzin,Sedan,Beyaz,1395 cc,150 hp,Önden Çekiş,"5,1 lt",66 lt,"
1 değişen
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",1.456.000
34,23800013,Volkswagen,Jetta,1.4 TSi BlueMotion Comfortline,2017,103.000 km,Yarı Otomatik,Benzin,Sedan,Siyah,1395 cc,150 hp,Önden Çekiş,5 lt,55 lt,"
Tamamı orjinal
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",985.000
35,23799447,Volkswagen,Jetta,1.4 TSi Comfortline,2014,55.240 km,Yarı Otomatik,Benzin,Sedan,Mavi,1390 cc,122 hp,Önden Çekiş,6 lt,55 lt,"
Tamamı orjinal
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",825.000
36,,,,,,,,,,,,,,,,,,,
37,23800597,Volkswagen,Passat Variant,1.6 TDi BlueMotion Comfortline,2016,180.000 km,Yarı Otomatik,Dizel,Station wagon,Gri,1598 cc,120 hp,Önden Çekiş,4 lt,66 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",1.030.000
38,23800552,Volkswagen,Polo,1.2 TSi Comfortline,2017,74.000 km,Yarı Otomatik,Benzin,Hatchback/5,Gri (metalik),1197 cc,90 hp,Önden Çekiş,"4,7 lt",45 lt,"
2 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",860.000
39,23799517,Volkswagen,Polo,1.4 TDi Comfortline,2016,265.000 km,Yarı Otomatik,Dizel,Hatchback/5,Gri,1422 cc,90 hp,Önden Çekiş,"3,5 lt",45 lt,"
4 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",650.000
40,23774457,Volkswagen,Passat,1.6 TDi BlueMotion Impression,2020,119.000 km,Yarı Otomatik,Dizel,Sedan,Gri (titanyum),1598 cc,120 hp,Önden Çekiş,4 lt,59 lt,"
1 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",1.399.000
41,23687451,Volkswagen,Jetta,1.6 TDi Comfortline,2011,276.000 km,Yarı Otomatik,Dizel,Sedan,Siyah,1598 cc,105 hp,Önden Çekiş,"4,7 lt",55 lt,Belirtilmemiş,Takasa Uygun,Galeriden,616.600
42,23799720,Volkswagen,Jetta,1.6 TDi Comfortline,2015,192.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,105 hp,Önden Çekiş,"4,7 lt",55 lt,Belirtilmemiş,Takasa Uygun,Galeriden,909.750
43,22883764,Volkswagen,Polo,1.6 TDi Comfortline,2014,105.000 km,Düz,Dizel,Hatchback/5,Beyaz,1598 cc,105 hp,Önden Çekiş,"4,2 lt",45 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",690.000
44,23799317,Volkswagen,Polo,1.4 TDi Comfortline,2015,88.246 km,Düz,Dizel,Hatchback/5,Kırmızı,1422 cc,90 hp,Önden Çekiş,"3,4 lt",45 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",650.000
45,23799037,Volkswagen,Polo,1.0 TSi Highline,2017,64.000 km,Yarı Otomatik,Benzin,Hatchback/5,Beyaz,999 cc,95 hp,Önden Çekiş,"4,6 lt",40 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",867.500
46,23798956,Volkswagen,Polo,1.4 Comfortline,2012,123.000 km,Yarı Otomatik,Benzin,Hatchback/5,Gri (Gümüş),1390 cc,85 hp,Önden Çekiş,"5,8 lt",45 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,595.000
47,23798914,Volkswagen,Polo,1.4 Pulse,2012,84.000 km,Düz,LPG & Benzin,Hatchback/5,Beyaz,1390 cc,85 hp,Önden Çekiş,"5,9 lt",45 lt,Belirtilmemiş,-,Sahibinden,620.000
48,23798935,Volkswagen,Passat,1.4 TSi BlueMotion Comfortline,2013,190.000 km,Otomatik,Benzin,Sedan,Beyaz,1400 cc,101 - 125 HP,-,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Kredi
Ekspertiz
Yakıt
",Araç Bilgileri,880.000
49,23798725,Volkswagen,Passat,1.4 TSi BlueMotion Trendline,2011,338.000 km,Yarı Otomatik,LPG & Benzin,Sedan,Siyah,1390 cc,122 hp,Önden Çekiş,"6,1 lt",70 lt,"
1 değişen, 3 boyalı
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",715.000
50,23798721,Volkswagen,Jetta,1.4 TSi Trendline,2015,143.000 km,Düz,Benzin,Sedan,Beyaz,1390 cc,122 hp,Önden Çekiş,"6,2 lt",55 lt,Belirtilmemiş,Takasa Uygun,Galeriden,765.000
51,23798626,Volkswagen,Passat,1.6 TDi BlueMotion Elegance,2019,98.000 km,Yarı Otomatik,Dizel,Sedan,Füme,1598 cc,120 hp,Önden Çekiş,4 lt,59 lt,Belirtilmemiş,Takasa Uygun,Galeriden,1.389.950
52,23447544,Volkswagen,Passat,1.4 TSi BlueMotion Comfortline,2015,140.000 km,Yarı Otomatik,Benzin,Sedan,Beyaz,1395 cc,150 hp,Önden Çekiş,"5,1 lt",66 lt,"
1 değişen, 2 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",1.200.000
53,23798541,Volkswagen,Polo,1.6 TDi Comfortline,2018,205.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,95 hp,Önden Çekiş,"3,9 lt",40 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,765.000
54,23798343,Volkswagen,Golf,1.6 TDi BlueMotion Highline,2015,157.000 km,Yarı Otomatik,Dizel,Hatchback/5,Gri (metalik),1598 cc,105 hp,Önden Çekiş,"3,9 lt",50 lt,"
1 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",945.000
55,23798316,Volkswagen,Golf,1.6 TDi BlueMotion Comfortline,2017,84.500 km,Yarı Otomatik,Dizel,Hatchback/5,Füme,1598 cc,115 hp,Önden Çekiş,"4,2 lt",50 lt,Belirtilmemiş,Sahibinden,Açıklama,990.000
56,23797370,Volkswagen,Golf,1.6 TDi BlueMotion Comfortline,2015,70.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,110 hp,Önden Çekiş,"3,9 lt",50 lt,Belirtilmemiş,Sahibinden,Açıklama,960.000
57,23798000,Volkswagen,Golf,1.6 Trendline,2012,72.000 km,Düz,Benzin,Hatchback/5,Gri (Gümüş),1595 cc,102 hp,Önden Çekiş,"7,1 lt",55 lt,"
Tamamı orjinal
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",735.000
58,23798302,Volkswagen,Jetta,1.6 TDi Comfortline,2013,176.000 km,Düz,Dizel,Sedan,Beyaz,1598 cc,105 hp,Önden Çekiş,"4,5 lt",55 lt,Belirtilmemiş,Sahibinden,Açıklama,750.000
59,23798284,Volkswagen,Jetta,1.4 TSi Highline,2016,215.000 km,Yarı Otomatik,Benzin,Sedan,Gri,1390 cc,122 hp,Önden Çekiş,6 lt,55 lt,"
3 değişen, 6 boyalı
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",735.000
60,23797317,Volkswagen,Passat,1.4 TSi BlueMotion Comfortline,2015,63.000 km,Düz,Benzin,Sedan,Beyaz,1395 cc,150 hp,Önden Çekiş,5 lt,66 lt,"
4 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",892.000
61,23444960,Volkswagen,Jetta,1.4 TSi BlueMotion Comfortline,2016,90.000 km,Yarı Otomatik,Benzin,Sedan,1395 cc,125 hp,Önden Çekiş,5 lt,55 lt,"
1 boyalı
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",Araç Bilgileri,1.165.000
62,23756205,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2019,117.250 km,Yarı Otomatik,Dizel,Sedan,Mavi,1598 cc,120 hp,Önden Çekiş,4 lt,66 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",1.408.000
63,23752502,Volkswagen,Passat Variant,1.4 TSi BlueMotion Comfortline,2018,100.850 km,Yarı Otomatik,Benzin,Station wagon,Beyaz,1395 cc,125 hp,Önden Çekiş,"5,1 lt",66 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",1.143.000
64,23798267,Volkswagen,Polo,1.0 TSi Comfortline,2020,27.500 km,Yarı Otomatik,Benzin,Hatchback/5,Turuncu,999 cc,95 hp,Önden Çekiş,"4,6 lt",40 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,1.005.000
65,23797481,Volkswagen,Passat,1.6 TDi BlueMotion Impression,2019,81.000 km,Otomatik,Dizel,Sedan,Beyaz,Belirtilmemiş,Sahibinden,Açıklama,Kredi,"

Açıklama
2019 / 2020  çıkışlı yeni kasa 81.bin km de boya değişen tramer yoktur sol arka çamurluk çizgi altı yarım düzeltme var bakımı yeni yapıldı 18inç verona jant lastik muayene 2025'e kadar5454010202ulaşabilirsiniz


Boya, Değişen ve Tramer



Created by Arabam IT























































Ön Tampon














Sağ Arka Çamurluk


Motor Kaputu


Arka Kaput


Tavan





Arka Tampon











Orijinal



Boyalı



Lokal Boyalı



Değişmiş



Belirtilmemiş








                                Orjinal
                            

-





                                Lokal boyalı
                            

-





                                Boyalı
                            

-





                                Değişmiş
                            

-





                                Belirtilmemiş
                            

Sağ Arka Çamurluk
Arka Kaput
Sol Arka Çamurluk
Sağ Arka Kapı
Sağ Ön Kapı
Tavan
Sol Arka Kapı
Sol Ön Kapı
Sağ Ön Çamurluk
Motor Kaputu
Sol Ön Çamurluk
Ön Tampon
Arka Tampon





                                    Tramer tutarı Belirtilmemiş
                                





Araç bilgileri


Genel Bakış


Yıl
2019


Kilometre
81.000 km


Vites Tipi
Otomatik


Yakıt Tipi
Dizel


Kasa Tipi
Sedan


Renk
Beyaz


Araç Türü
Bireysel


Plaka Uyruğu
(TR) Türkiye


Aracın ilk sahibiyim
İlk Sahibi Değilim


Kimden
Sahibinden






Kredi







                Akbank taşıt kredisi ile hayalindeki araca kavuş
            


            Hemen Başvur
        




Ekspertiz

Paketleri incele




Yakıt önerisi






Sahibinden Volkswagen Passat 1.6 TDi BlueMotion Impression 2019 Model Adıyaman 81.000 km Beyaz

",2019 / 2020  çıkışlı yeni kasa 81.bin km de boya değişen tramer yoktur sol arka çamurluk çizgi altı yarım düzeltme var bakımı yeni yapıldı 18inç verona jant lastik muayene 2025'e kadar5454010202ulaşabilirsiniz,"
Boya, Değişen ve Tramer



Created by Arabam IT























































Ön Tampon














Sağ Arka Çamurluk


Motor Kaputu


Arka Kaput


Tavan





Arka Tampon











Orijinal



Boyalı



Lokal Boyalı



Değişmiş



Belirtilmemiş








                                Orjinal
                            

-





                                Lokal boyalı
                            

-





                                Boyalı
                            

-





                                Değişmiş
                            

-





                                Belirtilmemiş
                            

Sağ Arka Çamurluk
Arka Kaput
Sol Arka Çamurluk
Sağ Arka Kapı
Sağ Ön Kapı
Tavan
Sol Arka Kapı
Sol Ön Kapı
Sağ Ön Çamurluk
Motor Kaputu
Sol Ön Çamurluk
Ön Tampon
Arka Tampon





                                    Tramer tutarı Belirtilmemiş
                                



","

Created by Arabam IT























































Ön Tampon














Sağ Arka Çamurluk


Motor Kaputu


Arka Kaput


Tavan





Arka Tampon











Orijinal



Boyalı



Lokal Boyalı



Değişmiş



Belirtilmemiş


",1.385.000
66,23797899,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2013,225.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,105 hp,Önden Çekiş,"4,7 lt",70 lt,"
2 değişen, 3 boyalı
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",795.000
67,23797627,Volkswagen,Polo,1.0 TSi Highline,2018,62.000 km,Yarı Otomatik,Benzin,Hatchback/5,Bej,999 cc,95 hp,Önden Çekiş,"4,6 lt",40 lt,Belirtilmemiş,Sahibinden,Açıklama,895.000
68,23797127,Volkswagen,Golf,1.6 TDi BlueMotion Comfortline,2016,85.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,110 hp,Önden Çekiş,"3,9 lt",50 lt,"
Tamamı orjinal
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",1.000.000
69,23797377,Volkswagen,Arteon,1.5 TSI R Line,2018,53.500 km,Yarı Otomatik,Benzin,Hatchback/5,Gri,1498 cc,150 hp,Önden Çekiş,6 lt,66 lt,"
Tamamı orjinal
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",1.830.000
70,23796862,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2014,160.000 km,Yarı Otomatik,Dizel,Sedan,Beyaz,1598 cc,105 hp,Önden Çekiş,"4,7 lt",70 lt,"
2 boyalı
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",990.000
71,23797357,Volkswagen,Polo,1.4 TDi Bluemotion,2014,161.000 km,Otomatik,Dizel,Hatchback/5,Gri (Gümüş),Önden Çekiş,"
1 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",Araç Bilgileri,Ekspertiz,"
Açıklama
Araçta değişen yoktur, sürtmelerden dolayı sadece ön çamurluk boyalıdır. Yakıt tasarrufu sağlayan BLUEMOTION dolu paket bir araçtır. Start Stop, yokuş kalkış özellikleri vardır. Araç içerisinde sigara içilmemiştir. Bakımları Ağustos ayında yetkili Erel otomobilde yapılmıştır. 2 adet yedek kış lastikleriyle birlikte verilecektir. Akü yeni değişti garantisi devam etmektedir. Tam bir yakıt cimrisi araçtır. İstediğiniz ustaya gösterebilirsiniz.
",725.000
72,23797909,Volkswagen,Jetta,1.6 TDi Comfortline,2013,214.000 km,Yarı Otomatik,Dizel,Sedan,Siyah,1598 cc,105 hp,Önden Çekiş,"4,7 lt",55 lt,"
1 değişen
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",670.000
73,23797793,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2014,297.000 km,Yarı Otomatik,Dizel,Sedan,Siyah,1598 cc,120 hp,Önden Çekiş,4 lt,66 lt,Belirtilmemiş,Sahibinden,Açıklama,980.000
74,23797270,Volkswagen,Passat,1.6 Trendline,2010,179.000 km,Düz,LPG & Benzin,Station wagon,Siyah,1595 cc,102 hp,Önden Çekiş,8 lt,70 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,760.000
75,23798052,Volkswagen,VW CC,1.4 TSi,2013,260.000 km,Yarı Otomatik,Benzin,Coupe,Beyaz,1390 cc,160 hp,Önden Çekiş,"6,9 lt",70 lt,Belirtilmemiş,Takasa Uygun,Galeriden,725.750
76,23797963,Volkswagen,Passat,1.6 TDi BlueMotion Highline,2016,243.000 km,Yarı Otomatik,Dizel,Sedan,Siyah,1598 cc,120 hp,Önden Çekiş,4 lt,66 lt,Belirtilmemiş,Takasa Uygun,Galeriden,1.125.000
77,23443485,Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,2013,218.000 km,Düz,Dizel,Sedan,1598 cc,105 hp,Önden Çekiş,"4,3 lt",70 lt,"
Tamamı orjinal
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",Araç Bilgileri,860.000
78,23652768,Volkswagen,Jetta,1.6 TDi Comfortline,2012,239.000 km,Düz,Dizel,Sedan,Gri (Gümüş),1598 cc,105 hp,Önden Çekiş,"4,5 lt",55 lt,Belirtilmemiş,Sahibinden,Açıklama,625.000
79,8810004,Volkswagen,Passat,1.6 TDi BlueMotion Trendline,2015,130.000 km,Düz,Dizel,Sedan,Beyaz,1598 cc,120 hp,Önden Çekiş,4 lt,66 lt,"
Tamamı orjinal
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",1.050.000
80,23446290,Volkswagen,Jetta,1.6 TDi Comfortline,2015,206.000 km,Yarı Otomatik,Dizel,Sedan,Siyah,1598 cc,105 hp,Önden Çekiş,"4,7 lt",55 lt,"
1 boyalı
","
                                        Kimden

                                    ","
Açıklama
Boya, Değişen ve Tramer
Araç Bilgileri
Donanım
Kredi
Ekspertiz
Yakıt
",838.000
81,23797534,Volkswagen,Polo,1.4 TSi GTi,2011,137.000 km,Yarı Otomatik,Benzin,Hatchback/3,Kırmızı,1390 cc,180 hp,Önden Çekiş,"5,8 lt",45 lt,Belirtilmemiş,Sahibinden,Açıklama,819.500
82,23797080,Volkswagen,Passat,1.4 TSi BlueMotion Highline,2014,132.000 km,Yarı Otomatik,Benzin,Sedan,Siyah,1390 cc,122 hp,Önden Çekiş,6 lt,70 lt,"
1 değişen, 2 boyalı
","
                                        Takasa Uygun

                                    ","
                                        Kimden

                                    ",949.500
